"annotation_id","annotator","comment","created_at","id","lead_time","rating","sentiment","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
1,"1","спасибо","2025-05-10T18:07:26.873274Z",2945792,54.818,5,"Вопрос решен","2025-05-10T18:17:26.495821Z","","","","",""
2,"1","спасибо!","2025-05-10T18:17:33.491488Z",3234340,4.32,5,"Вопрос решен","2025-05-10T18:17:33.491488Z","","","","",""
3,"1","Отлично ","2025-05-10T18:17:39.232246Z",3380332,3.511,5,"Вопрос решен","2025-05-10T18:17:39.232246Z","","","","",""
4,"1","Благодарю за оперативное решение проблемы ! ","2025-05-10T18:17:52.546168Z",3381812,11.797,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-10T18:17:52.546168Z","","","","",""
5,"1","Прекрасный специалист! Побольше таких","2025-05-10T18:18:12.825646Z",3461991,13.906,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:18:12.825646Z","","","","",""
6,"1","Спасибо ","2025-05-10T18:18:16.614284Z",3551430,2.031,5,"Вопрос решен","2025-05-10T18:18:16.614284Z","","","","",""
7,"1","пересчет, и скорость 
","2025-05-10T18:18:22.515694Z",3572768,4.552,1,"не относится ни к одному из пунктов","2025-05-10T18:18:22.515694Z","","","","",""
8,"1","Спасибо за обновление покраски стен","2025-05-10T18:19:05.893056Z",3584536,43.004999999999995,5,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:20:05.125199Z","","","","",""
9,"1","выполнили быстро","2025-05-10T18:20:00.223703Z",3596020,11.126,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-10T18:20:00.223703Z","","","","",""
10,"1","Спасибо! ","2025-05-10T18:20:17.513394Z",3617808,3.136,5,"Вопрос решен","2025-05-10T18:20:17.513394Z","","","","",""
11,"1","спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ","2025-05-10T18:21:50.059749Z",3627490,62.063,5,"{""choices"":[""Нравится качество выполнения заявки"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:21:50.059749Z","","","","",""
12,"1","спасибо 
","2025-05-10T18:21:53.965569Z",3657819,2.402,5,"Вопрос решен","2025-05-10T18:21:53.965569Z","","","","",""
13,"1","Спасибо ","2025-05-10T18:21:59.259803Z",3691620,3.631,5,"Вопрос решен","2025-05-10T18:21:59.259803Z","","","","",""
14,"1","Решили мой вопрос. Спасибо! ","2025-05-10T18:22:07.975123Z",3695420,6.217,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:22:07.975123Z","","","","",""
